code,question,option 1,option 2,option 3,option 4,correct answer
104-GSAT-8,"An open display of _____ behavior between men and women, such as hugging and kissing, is not allowed in some conservative societies.",intimate,ashamed,earnest,urgent,intimate
104-GSAT-9,"When taking medicine, we should read the instructions on the _____ carefully because they provide important information such as how and when to take it.",medals,quotes,labels,recipes,labels
105-GSAT-1,Posters of the local rock band were displayed in store windows to promote the sale of their _____ tickets.,journey,traffic,concert,record,concert
105-GSAT-10,"Many people try to save a lot of money before _____, since having enough money would give them a sense of security for their future.",isolation,promotion,retirement,announcement,retirement
105-GSAT-11,"In winter, our skin tends to become dry and _____, a problem which is usually treated by applying lotions or creams.",alert,itchy,steady,flexible,itchy
105-GSAT-12,Benson married Julie soon after he had _____ her heart and gained her parents’ approval.,conquered,estimated,guaranteed,intensified,conquered
105-GSAT-13,The recent flood completely _____ my parents’ farm. The farmhouse and fruit trees were all gone and nothing was left.,ruined,cracked,hastened,neglected,ruined
105-GSAT-14,The results of this survey are not reliable because the people it questioned were not a typical or _____ sample of the entire population that was studied.,primitive,spiritual,representative,informative,representative
105-GSAT-15,"In line with the worldwide green movement, carmakers have been working hard to make their new models more _____ friendly to reduce pollution.",liberally,individually,financially,environmentally,environmentally
105-GSAT-2,Maria didn’t want to deliver the bad news to David about his failing the job interview. She herself was quite _____ about it.,awful,drowsy,tragic,upset,upset
105-GSAT-3,The newcomer speaks with a strong Irish _____; he must be from Ireland.,accent,identity,gratitude,signature,accent
105-GSAT-4,"Although Maggie has been physically _____ to her wheelchair since the car accident, she does not limit herself to indoor activities.",ceased,committed,confined,conveyed,confined
105-GSAT-5,All passengers riding in cars are required to fasten their seatbelts in order to reduce the risk of _____ in case of an accident.,injury,offense,sacrifice,victim,injury
105-GSAT-6,The principal of this school is a man of exceptional _____. He sets aside a part of his salary for a scholarship fund for children from needy families.,security,maturity,facility,generosity,generosity
105-GSAT-7,The science teacher always _____ the use of the laboratory equipment before she lets her students use it on her own.,tolerates,associates,demonstrates,exaggerates,demonstrates
105-GSAT-8,"Most of the area is covered by woods, where bird species are so _____ that it is a paradise for birdwatchers.",durable,private,realistic,numerous,numerous
105-GSAT-9,"In most cases, the committee members can reach agreement quickly. _____, however, they differ greatly in opinion and have a hard time making decisions.",Occasionally,Automatically,Enormously,Innocently,Occasionally
106-GSAT-1,John’s clock is not functioning _____. The alarm rings even when it’s not set to go off.,tenderly,properly,solidly,favorably,properly
106-GSAT-10,"The clouds parted and a _____ of light fell on the church, through the windows, and onto the floor.",dip,beam,spark,path,beam
106-GSAT-11,"Instead of a gift, Tim’s grandmother always _____ some money in the birthday card she gave him.",enclosed,installed,preserved,rewarded,enclosed
106-GSAT-12,"While winning a gold _____ is what every Olympic athlete dreams of, it becomes meaningless if it is achieved by cheating.",signal,glory,medal,profit,medal
106-GSAT-13,The thief went into the apartment building and stole some jewelry. He then _____ himself as a security guard and walked out the front gate.,balanced,calculated,disguised,registered,disguised
106-GSAT-14,"Due to numerous accidents that occurred while people were playing Pokémon GO, players were advised to be _____ of possible dangers in the environment.",aware,ashamed,doubtful,guilty,aware
106-GSAT-15,"Sherlock Holmes, a detective in a popular fiction series, has impressed readers with his amazing powers of _____ and his knowledge of trivial facts.",innocence,estimation,assurance,observation,observation
106-GSAT-2,Michael has decided to _____ a career in physics and has set his mind on becoming a professor.,pursue,swear,reserve,draft,pursue
106-GSAT-3,"Peter plans to hike in a _____ part of Africa, where he might not meet another human being for days.",native,tricky,remote,vacant,remote
106-GSAT-4,"People in this community tend to _____ with the group they belong to, and often put group interests before personal ones.",appoint,eliminate,occupy,identify,identify
106-GSAT-5,I mistook the man for a well-known actor and asked for his autograph; it was really _____.,relaxing,embarrassing,appealing,defending,embarrassing
106-GSAT-6,"After spending most of her salary on rent and food, Amelia _____ had any money left for entertainment and other expenses.",barely,fairly,merely,readily,barely
106-GSAT-7,"In the Bermuda Triangle, a region in the western part of the North Atlantic Ocean, some airplanes and ships were reported to have mysteriously disappeared without a _____.",guide,trace,code,print,trace
106-GSAT-8,"Shouting greetings and waving a big sign, Tony _____ the passing shoppers to visit his shop and buy the freshly baked bread.",accessed,edited,imposed,urged,urged
106-GSAT-9,"With a continuous 3 km stretch of golden sand, the beach attracts artists around the world each summer to create amazing _____ with its fine soft sand.",constitutions,objections,sculptures,adventures,sculptures
107-GSAT-1,Mangoes are a _____ fruit here in Taiwan; most of them reach their peak of sweetness in July.,mature,usual,seasonal,particular,seasonal
107-GSAT-10,The interviewees were trying very hard to _____ the interviewers that they were very capable and should be given the job.,credit,impress,relieve,acquire,impress
107-GSAT-11,"After the first snow of the year, the entire grassland disappeared under a _____ of snow.",flake,blossom,blanket,flash,blanket
107-GSAT-12,"Peter likes books with wide _____, which provide him with enough space to write notes.",angles,margins,exceptions,limitations,margins
107-GSAT-13,"At the beginning of the semester, the teacher told the students that late assignments would receive a low grade as a _____.",hardship,comment,bargain,penalty,penalty
107-GSAT-14,Various studies have been _____ in this hospital to explore the link between a high-fat diet and cancer.,conducted,confirmed,implied,improved,conducted
107-GSAT-15,"Intense, fast-moving fires raged across much of California last week. The _____ firestorm has claimed the lives of thirty people.",efficient,reliable,massive,adequate,massive
107-GSAT-2,Writing term papers and giving oral reports are typical course _____ for college students.,requirements,techniques,situations,principles,requirements
107-GSAT-3,"If we work hard to _____ our dreams when we are young, we will not feel that we missed out on something when we get old.",distribute,fulfill,convince,monitor,fulfill
107-GSAT-4,Few people will trust you if you continue making _____ promises and never make efforts to keep them.,chilly,liberal,hollow,definite,hollow
107-GSAT-5,Becky _____ her ankle while she was playing tennis last week. Now it still hurts badly.,slipped,dumped,twisted,recovered,twisted
107-GSAT-6,"Research shows that men and women usually think differently. For example, they have quite different _____ about what marriage means in their life.",decisions,beliefs,styles,degrees,beliefs
107-GSAT-7,"The new manager is very _____. For instance, the employees are given much shorter deadlines for the same tasks than before.",persuasive,tolerable,suspicious,demanding,demanding
107-GSAT-8,"While the couple were looking _____ for their missing children, the kids were actually having fun in the woods nearby.",anxiously,precisely,evidently,distinctly,anxiously
107-GSAT-9,"After delivering a very powerful speech, the award winner was _____ by a group of fans asking for her signature.",deposited,reserved,vanished,surrounded,surrounded
108-GSAT-1,Bobby cared a lot about his _____ at home and asked his parents not to go through his things without his permission.,discipline,facility,privacy,representation,privacy
108-GSAT-10,"The _____ costume party, held every September, is one of the biggest events of the school year.",initial,annual,evident,occasional,annual
108-GSAT-11,"In a job interview, attitude and personality are usually important _____ that influence the decision of the interviewers.",factors,outcomes,missions,identities,factors
108-GSAT-12,The snow-capped mountain is described so _____ in the book that the scene seems to come alive in front of the reader’s eyes.,distantly,meaningfully,cheerfully,vividly,vividly
108-GSAT-13,"Surrounded by flowers blooming and birds _____ merrily, the Wangs had a good time hiking in the national park.",napping,scooping,flipping,chirping,chirping
108-GSAT-14,It is essential for us to maintain constant _____ with our friends to ensure that we have someone to talk to in times of need.,benefit,contact,gesture,favor,contact
108-GSAT-15,"The young generation in this country has shown less interest in factory work and other _____ labor jobs, such as house construction and fruit picking.",causal,durable,manual,violent,manual
108-GSAT-2,"The new manager is a real gentleman. He is kind and humble, totally different from the former manager, who was _____ and bossy.",eager,liberal,mean,inferior,mean
108-GSAT-3,"The weather bureau _____ that the typhoon would bring strong winds and heavy rains, and warned everyone of the possible danger.",conveyed,associated,interpreted,predicted,predicted
108-GSAT-4,"Different airlines have different _____ for carry-on luggage, but many international airlines limit a carry-on piece to 7 kilograms.",landmarks,restrictions,percentages,circumstances,restrictions
108-GSAT-5,Many people were happy that the government had finally _____ Children’s Day as a national holiday.,appointed,declared,performed,involved,declared
108-GSAT-6,"To reach the goal of making her company a market leader, Michelle _____ a plan to open ten new stores around the country this year.",advised,occupied,proposed,recognized,proposed
108-GSAT-7,"Silence in some way is as _____ as speech. It can be used to show, for example, disagreement or lack of interest.",sociable,expressive,reasonable,objective,expressive
108-GSAT-8,"This TV program is designed for children, _____ for those under five. It contains no violence or strong language.",particularly,sensibly,moderately,considerably,particularly
108-GSAT-9,"Tommy, please put away the toys in the box, or you might _____ on them and hurt yourself.",stumble,graze,navigate,dwell,stumble
109-GSAT-1,"After hours of discussion, our class finally reached the _____ that we would go to Hualien for our graduation trip.",balance,conclusion,definition,harmony,conclusion
109-GSAT-10,The candy can no longer be sold because it was found to contain artificial ingredients far beyond the _____ level.,abundant,immense,permissible,descriptive,permissible
109-GSAT-11,Jack’s excellent performance in last week’s game has _____ all the doubts about his ability to play on our school basketball team.,erased,canceled,overlooked,replaced,erased
109-GSAT-12,It is bullying to _____ a foreign speaker’s accent. No one deserves to be laughed at for their pronunciation.,mock,sneak,prompt,glare,mock
109-GSAT-13,"Mary lost ten kilograms in three months, so her _____ skin-tight jeans are now hanging off her hips.",barely,evenly,currently,formerly,formerly
109-GSAT-14,The police officer showed us pictures of drunk driving accidents to highlight the importance of staying _____ on the road.,sober,majestic,vigorous,noticeable,sober
109-GSAT-15,The claim that eating chocolate can prevent heart disease is _____ because there is not enough scientific evidence to support it.,creative,disputable,circular,magnificent,disputable
109-GSAT-2,Jane _____ her teacher by passing the exam with a nearly perfect score; she almost failed the course last semester.,bored,amazed,charmed,informed,amazed
109-GSAT-3,The vacuum cleaner is not working. Let’s send it back to the _____ to have it inspected and repaired.,lecturer,publisher,researcher,manufacturer,manufacturer
109-GSAT-4,"Due to the global financial crisis, the country’s exports _____ by 40 percent last month, the largest drop since 2000.",flattered,transformed,relieved,decreased,decreased
109-GSAT-5,The potato chips have been left uncovered on the table for such a long time that they no longer taste fresh and _____.,solid,crispy,original,smooth,crispy
109-GSAT-6,The townspeople built a _____ in memory of the brave teacher who sacrificed her life to save her students from a burning bus.,monument,refugee,souvenir,firecracker,monument
109-GSAT-7,The students in Professor Smith’s classical Chinese class are required to _____ poems by famous Chinese poets.,construct,expose,recite,install,recite
109-GSAT-8,"Although Mr. Tang claims that the house belongs to him, he has not offered any proof of _____.",convention,relationship,insurance,ownership,ownership
109-GSAT-9,"Ancient Athens, famous for its early development of the democratic system, is often said to be the _____ of democracy.",mission,target,cradle,milestone,cradle
110-GSAT-1,Tom is really a naughty boy. He likes to _____ and play jokes on his younger sister when their parents are not around.,alert,spare,tease,oppose,tease
110-GSAT-10,The 2011 Nobel Peace Prize was awarded _____ to three women for the efforts they made in fighting for women’s rights.,actively,earnestly,jointly,naturally,jointly
110-GSAT-11,The company is _____ and making great profits under the wise leadership of the chief executive officer.,applauding,flourishing,circulating,exceeding,flourishing
110-GSAT-12,It is absolutely _____ to waste your money on an expensive car when you cannot even get a driver’s license.,absurd,cautious,vigorous,obstinate,absurd
110-GSAT-13,The problem of illegal drug use is very complex and cannot be traced to merely one _____ reason.,singular,countable,favorable,defensive,singular
110-GSAT-14,The non-profit organization has _____ $1 million over five years to finance the construction of the medical center.,equipped,resolved,committed,associated,committed
110-GSAT-15,"One week after the typhoon, some bridges were finally opened and bus service _____ in the country’s most severely damaged areas.",departed,resumed,transported,corresponded,resumed
110-GSAT-2,"Elderly shoppers in this store are advised to take the elevator rather than the _____, which may move too fast for them to keep their balance.",airway,operator,escalator,instrument,escalator
110-GSAT-3,"Upon hearing its master’s call, the dog wagged its tail, and followed her out of the room _____.",obediently,apparently,logically,thoroughly,obediently
110-GSAT-4,"Since many of our house plants are from humid jungle environments, they need _____ air to keep them green and healthy.",moist,stale,crisp,fertile,moist
110-GSAT-5,"The skydiver managed to land safely after jumping out of the aircraft, even though her _____ failed to open in midair.",glimpse,latitude,segment,parachute,parachute
110-GSAT-6,"The invention of the steam engine, which was used to power heavy machines, brought about a _____ change in society.",persuasive,harmonious,conventional,revolutionary,revolutionary
110-GSAT-7,"To encourage classroom _____, the teacher divided the class into groups and asked them to solve a problem together with their partners.",operation,interaction,adjustment,explanation,interaction
110-GSAT-8,Lisa _____ onto the ground and injured her ankle while she was playing basketball yesterday.,buried,punched,scattered,tumbled,tumbled
110-GSAT-9,Hundreds of residents received free testing _____ from the city government to find out if their water contained any harmful chemicals.,kits,trials,zones,proofs,kits
111-GSAT-1,"When Jeffery doesn’t feel like cooking, he often orders pizza online and has it ______ to his house.",advanced,delivered,offered,stretched,delivered
111-GSAT-10,"With pink cherry blossoms blooming everywhere, the valley ______ like a young bride under the bright spring sunshine.",bounces,blushes,polishes,transfers,blushes
111-GSAT-2,Jane is the best ______ I have ever had. I cannot imagine running my office without her help.,assistant,influence,contribution,politician,assistant
111-GSAT-3,"The temple celebrated Mazu Festival by hosting ten days of lion dances, Taiwanese operas, and traditional hand ______ shows.",chat,quiz,puppet,variety,puppet
111-GSAT-4,The new vaccine was banned by the Food and Drug Administration due to its _______ fatal side effects.,potentially,delicately,ambiguously,optionally,potentially
111-GSAT-5,______ the photos with dates and keywords help you sort them easily in your file.,Tagging,Flocking,Rolling,Snapping,Tagging
111-GSAT-6,"An ______ person is usually pleasant and easy to get along with, but don’t expect that he or she will always say “yes” to everything.",enormous,intimate,agreeable,ultimate,agreeable
111-GSAT-7,"Hidden deep in a small alley among various tiny shops, the entrance of the Michelin star restaurant is barely ______ to passersby.",identical,visible,available,remarkable,visible
111-GSAT-8,"The original budget for my round-island trip was NT$5,000, but the ______ cost is likely to be 50 percent higher.",moderate,absolute,promising,eventual,eventual
111-GSAT-9,"After watching a TV program on natural history, Adam decided to go on a ______ for dinosaur fossils in South Dakota.",trial,route,strike,quest,quest
112-GSAT-1,The bus driver often complains about chewing gum found under passenger seats because it is ______ and very hard to remove.,sticky,greasy,clumsy,mighty,sticky
112-GSAT-10,Studies show that the unbiased media are in fact often deeply influenced by political ideology.,undoubtedly,roughly,understandably,supposedly,supposedly
112-GSAT-2,Jesse is a talented model. He can easily adopt an elegant ______ for a camera shoot.,clap,toss,pose,snap,pose
112-GSAT-3,"In order to draw her family tree, Mary tried to trace her ______ back to their arrival in North America.",siblings,commuters,ancestors,instructors,ancestors
112-GSAT-4,"Upon the super typhoon warning, Nancy rushed to the supermarket—only to find the shelves almost ______ and the stock nearly gone.",blank,bare,hollow,queer,bare
112-GSAT-5,"Even though Jack said “Sorry!” to me in person, I did not feel any ______ in his apology.",liability,generosity,integrity,sincerity,sincerity
112-GSAT-6,My grandfather has astonishing powers of ______. He can still vividly describe his first day at school as a child.,resolve,fraction,privilege,recall,recall
112-GSAT-7,Recent research has found lots of evidence to ______ the drug company’s claims about its “miracle” tablets for curing cancer.,provoke,counter,expose,convert,counter
112-GSAT-8,Corrupt officials and misguided policies have ______ the country’s economy and burdened its people with enormous foreign debts.,crippled,accelerated,rendered,ventured,crippled
112-GSAT-9,"As a record number of fans showed up for the baseball final, the highways around the stadium were ______ with traffic all day.",choked,disturbed,enclosed,injected,choked
113-GSAT-1,People who desire a ______ figure should exercise regularly and maintain healthy eating habits.,spicy,slender,slight,slippery,slender
113-GSAT-10,"David felt disappointed when he found out that he could not choose his study partners, but would be ______ placed in a study group.",eligibly,randomly,apparently,consequently,randomly
113-GSAT-2,Watching the sun ______ from a sea of clouds is a must-do activity for all visitors to Ali Mountain.,emerging,flashing,rushing,floating,emerging
113-GSAT-3,Do you know what time the next bus is ______? I’ve been waiting here for more than 30 minutes.,apt,due,bound,docked,due
113-GSAT-4,"The roasting heat and high ______ made me feel hot and sticky, no matter what I did to cool off.",density,humidity,circulation,atmosphere,humidity
113-GSAT-5,Artwork created by truly great artists such as Picasso and Monet will no doubt ______ the test of time.,stay,take,serve,stand,stand
113-GSAT-6,"In some countries, military service is ______ for men only; women do not have to serve in the military.",forceful,realistic,compulsory,distinctive,compulsory
113-GSAT-7,The team complained that its leader always took the ______ for all the hard work done by the team members.,advantage,revenge,remedy,credit,credit
113-GSAT-8,"Located at the center of the city, the business hotel ______ not only good service but also convenient public transport.",proposes,contains,promises,confirms,promises
113-GSAT-9,"As blood supplies have fallen to a critically low level, many hospitals are making an ______ for the public to donate blood.",appeal,approach,operation,observation,appeal
114-GSAT-1,"If you put a ______ under a leaking faucet, you will be surprised at the amount of water collected in 24 hours.",border,timer,container,marker,container
114-GSAT-10,"The manager of the company was sued for ______ abusing his colleagues, calling them “hopeless losers.”",verbally,dominantly,legitimately,relevantly,verbally
114-GSAT-2,The local farmers’ market is popular as it offers a variety of fresh seasonal ______ to people in the community.,produce,fashion,brand,trend,produce
114-GSAT-3,"As the years have passed by, many of my childhood memories are already _____; I can no longer recall clearly what happened back then.",blurring,trimming,draining,glaring,blurring
114-GSAT-4,"Racist remarks are by nature ______ and hurtful, and should be avoided on all occasions.",excessive,furious,offensive,stubborn,offensive
114-GSAT-5,"Not satisfied with the first ______ of her essay, Mary revised it several times before turning it in to the teacher.",text,brush,draft,plot,draft
114-GSAT-6,"Left ______ for years, the deserted house was filled with a thick coating of dust and a smell of old damp wood.",casual,fragile,remote,vacant,vacant
114-GSAT-7,The high school student showed ______ courage when she helped the old man escape from the fire.,gigantic,exclusive,multiple,enormous,enormous
114-GSAT-8,Publicly financed projects are often ______ or delayed during tough economic times due to a lack of resources.,halted,hatched,possessed,reinforced,halted
114-GSAT-9,"Despite his busy schedule, the President ______ the school’s graduation ceremony with his presence and a heartwarming speech.",praised,graced,addressed,credited,graced
93-GSAT-1,I called the airline to ______ my flight reservation a week before I left for Canada.,expand,attach,confirm,strengthen,confirm
93-GSAT-10,Jane usually buys things on ______. Her purchases seem to be driven by some sudden force or desire.,accident,compliment,justification,impulse,impulse
93-GSAT-11,The week-long rainfall has ______ landslides and flooding in the mountain areas.,set about,brought about,come about,put about,brought about
93-GSAT-12,"In the cross-lake swimming race, a boat will be ______ in case of an emergency.",standing by,turning on,getting on,running down,standing by
93-GSAT-13,The ground is slippery. Hold onto the rope and don’t ______.,put off,turn up,let go,take apart,let go
93-GSAT-14,"______ the weather, the athletic meetings will be held on time.",Instead of,In relation to,On behalf of,Regardless of,Regardless of
93-GSAT-15,"If people keep polluting the rivers, no fish there will survive ______.",at all cost,for a long while,in the long run,by no means,in the long run
93-GSAT-2,"In order to write a report on stars, we decided to ______ the stars in the sky every night.",design,seize,quote,observe,observe
93-GSAT-3,Julie wants to buy a ______ computer so that she can carry it around when she travels.,memorable,portable,predictable,readable,portable
93-GSAT-4,My grandmother likes to surprise people. She never calls ______ to inform us of her visits.,beforehand,anyhow,originally,consequently,beforehand
93-GSAT-5,"As the tallest building in the world, Taipei 101 has become a new ______ of Taipei City.",incident,geography,skylight,landmark,landmark
